Fold,Method,Alpha,Budget,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race:African-American,race:Asian,race:Caucasian,race:Hispanic,race:Native American,race:Other,c_charge_degree:F,c_charge_degree:M,gender
9,RACT,0.06,0.3,0.18559440815484424,0.10034866289821623,0.10891911448133747,0.1347947084170001,0.16399478981751966,0.06057250219634072,0.029129809838476135,0.044941772375396656,0.03116852873327767,0.018946526099743892,0.02555947244678403,0.033681745299941314,0.020136872374781584,0.04221108686634026
9,RACT,0.08,0.3,0.19247687888324785,0.10626613172523688,0.11726706499107717,0.1263194562971721,0.16942377517836338,0.05998356673351396,0.030735941583675326,0.04206577611201771,0.031982176000219756,0.011825712408906761,0.02472671447029042,0.027847024360492214,0.018927719159361967,0.040152062096424614
9,RACT,0.1,0.3,0.18519594039683918,0.10973050194785679,0.1035503160824608,0.12531941219803105,0.16674073671888912,0.06710012504882369,0.03384802541004189,0.04339244299916266,0.036080251325887956,0.015179634016234383,0.02127734901394164,0.029568235108245917,0.023975672754319395,0.03904135697926559
10,Baseline,0.0,0.3,0.197069561480795,0.11127657011502262,0.12533669013238302,0.12036612795480486,0.15266235279636053,0.06435766682314044,0.025717601368036126,0.043951806154423574,0.030397187426447432,0.020932230413016305,0.020638234979722402,0.028111134696746774,0.017066884651279594,0.04211595100782129
10,Baseline (OAF),0.0,0.3,0.2644036024344016,0.15239956496853602,0.15992461471371724,0.14490607471348846,0.19314472234812496,0.0,0.0,0.0,0.0,0.0,0.0,0.06555501154813294,0.019666409273598973,0.0
10,RACT,0.02,0.3,0.19106919335542466,0.08826056087148677,0.10789540066249473,0.127233354503523,0.17655254143551577,0.05815631979119884,0.03334405576996368,0.03805784257250788,0.037059923311933946,0.018389601116383443,0.025647848426644006,0.026353235793285697,0.0246607144892101,0.047319407900427636
10,RACT,0.04,0.3,0.19360869478446324,0.10735998064614125,0.12306775177747797,0.12012776445741193,0.16931561953109506,0.06350207949532535,0.028764725740279832,0.035305614837335825,0.0326557446838367,0.018211005634942667,0.02319964752173582,0.02588434037810844,0.01985895779383656,0.0391380727180093
10,RACT,0.06,0.3,0.1874208201998944,0.10628836374737516,0.12495027399196773,0.12320866744412427,0.1683540732204925,0.06070773378133989,0.031712353208045226,0.041331054940757526,0.036497297749246635,0.016384791612068798,0.018891299017812238,0.02517741645595341,0.0203630159699064,0.038712838661015866
10,RACT,0.08,0.3,0.1830304859839313,0.11340837534169718,0.11382110743100363,0.12139670150892436,0.17825786975532606,0.05850138280719539,0.03342430919938843,0.04501082670419565,0.030401750415104588,0.01672420055481977,0.020447970609162303,0.025809761965069237,0.017885070645833827,0.04188018707834833
10,RACT,0.1,0.3,0.19129203204355433,0.1064980273607202,0.11632299378426061,0.12543709754849078,0.1762346733839378,0.0579191793223626,0.028131528990799026,0.04718481697079106,0.03336678527759666,0.012041445753002361,0.02197601125112259,0.02382955384384442,0.020603664884575684,0.039162189584941706
